Riesgos	acp_cov.x...1.	acp_cov.x...2.	acp_cov.x...3.	acp_cov.x...29.	acp_cov.x...30.	Nivel
91.25237726	-288.1017971	-35.02761592	31.28726547	2.48041324	-0.065243559	Alto
89.097828	-273.437519	-31.23401509	29.98915755	3.768126932	-4.133044476	Alto
91.65348546	-289.0007692	-32.92523793	39.34295078	1.456771473	-3.538291083	Alto
91.42723632	-286.9984933	-33.82193931	33.08279118	2.526151997	-4.194636379	Alto
91.9224946	-291.3815535	-29.75468436	42.25560615	0.885961192	2.37481525	Alto
91.80847563	-290.8525087	-30.38548024	45.09435584	-0.279848267	2.00775252	Alto
90.07451617	-278.4011481	-37.06932863	43.72473094	-4.162812458	2.643937546	Alto
90.94868421	-285.026876	-33.89697887	35.47169781	-1.260739806	1.96537202	Alto
90.99135873	-284.8043963	-30.68752298	40.35668874	2.607564277	-0.588412887	Alto
90.29255791	-281.6367863	-32.74910426	34.71580498	2.590005876	0.232208412	Alto
89.60057206	-276.6506989	-29.73983729	31.34267093	4.676140044	1.468996315	Alto
90.45484181	-281.3592664	-35.49441823	33.51370059	0.853347364	1.76397273	Alto
