Src,aux,Dest,Weight
Agente22514,1,Agente21130,1
Agente9570,1,Agente14590,1
Agente27560,1,Agente4079,1
Agente12632,1,Agente30427,1
Agente21843,1,Agente18804,1
Agente27219,1,Agente4023,1
Agente19840,1,Agente23197,1
Agente27136,1,Agente6623,1
Agente25272,1,Agente18874,1
Agente17700,1,Agente24975,1
Agente14497,1,Agente27365,1
Agente23826,1,Agente25957,2
Agente29649,1,Agente21981,1
Agente21194,1,Agente23244,1
Agente28110,1,Agente23790,1
Agente23714,1,Agente2050,1
Agente14144,1,Agente18023,2
Agente24377,1,Agente14867,2
Agente25288,1,Agente4109,1
Agente26434,1,Agente30427,1
Agente23623,1,Agente9647,1
Agente20841,1,Agente16012,1
Agente24457,1,Agente4647,1
Agente6569,1,Agente20883,1
Agente13944,1,Agente21419,1
Agente23789,1,Agente27791,1
Agente19710,1,Agente15974,1
Agente16024,1,Agente25393,1
Agente25561,1,Agente22869,1
Agente18744,1,Agente22961,1
Agente22016,1,Agente26696,1
Agente22021,1,Agente6783,1
Agente20842,1,Agente10149,1
Agente23296,1,Agente19063,2
Agente8409,1,Agente21890,1
Agente22300,1,Agente11230,4
Agente16569,1,Agente24095,1
Agente15728,1,Agente23705,1
Agente25076,1,Agente2413,1
Agente14676,1,Agente10149,1
Agente22944,1,Agente29054,1
Agente24924,1,Agente12133,1
Agente23880,1,Agente24924,1
Agente330,1,Agente12307,1
Agente15264,1,Agente22656,1
Agente17492,1,Agente24095,2
Agente13968,1,Agente16558,1
Agente28861,1,Agente28422,1
Agente26689,1,Agente10913,1
Agente3731,1,Agente15685,1
Agente18865,1,Agente17278,1
Agente20243,1,Agente23182,1
Agente963,1,Agente13534,1
Agente25272,1,Agente2820,1
Agente17278,1,Agente11950,1
Agente23130,1,Agente16895,1
Agente26824,1,Agente18875,1
Agente18449,1,Agente30292,1
Agente18700,1,Agente13318,1
Agente9233,1,Agente14135,1
Agente289,1,Agente14268,1
Agente20268,1,Agente10014,1
Agente19521,1,Agente30292,1
Agente12233,1,Agente7935,1
Agente17074,1,Agente22910,1
Agente15437,1,Agente4293,1
Agente18356,1,Agente29084,1
Agente11906,1,Agente6006,1
Agente18156,1,Agente22807,1
Agente26824,1,Agente10149,1
Agente1722,1,Agente11659,1
Agente1722,1,Agente11878,1
Agente29054,1,Agente22303,1
Agente30576,1,Agente10177,1
Agente18698,1,Agente24095,1
Agente25272,1,Agente21622,1
Agente18434,1,Agente30292,2
Agente6510,1,Agente12959,1
Agente18804,1,Agente14093,1
Agente21249,1,Agente16909,1
Agente7864,1,Agente21662,1
Agente17278,1,Agente24095,2
